Abilify		Alcohols
Erythromycin		fexofenadine
Erythromycin		Ketoconazole
Erythromycin		Relate - vinyl resin
Ketoconazole		fexofenadine
Ketoconazole		Erythromycin
Ketoconazole		Relate - vinyl resin
Relate - vinyl resin		fexofenadine
Relate - vinyl resin		Erythromycin
Relate - vinyl resin		Ketoconazole
Erythromycin		Lovastatin
Lovastatin		Erythromycin
Phenytoin		Itraconazole
Itraconazole		Phenytoin
Amprenavir		Ritonavir
Ritonavir		Amprenavir
Trazodone Hydrochloride		Desyrel
Trazodone Hydrochloride		buspirone hydrochloride
Desyrel		Trazodone Hydrochloride
Desyrel		buspirone hydrochloride
buspirone hydrochloride		Trazodone Hydrochloride
buspirone hydrochloride		Desyrel
Clonidine		Tricyclic Antidepressive Agents
Tricyclic Antidepressive Agents		Clonidine
Agonist		Buprenorphine
Agonist		Nalbuphine
Agonist		Levo-Dromoran
Agonist		Butorphanol
Agonist		Analgesics
Agonist		Pentazocine
Agonist		dezocine
Agonist		Analgesics, Opioid
Agonist		agonists and antagonists
Buprenorphine		Agonist
Buprenorphine		Nalbuphine
Buprenorphine		Levo-Dromoran
Buprenorphine		Butorphanol
Buprenorphine		Analgesics
Buprenorphine		Pentazocine
Buprenorphine		dezocine
Buprenorphine		Analgesics, Opioid
Buprenorphine		agonists and antagonists
Nalbuphine		Agonist
Nalbuphine		Buprenorphine
Nalbuphine		Levo-Dromoran
Nalbuphine		Butorphanol
Nalbuphine		Analgesics
Nalbuphine		Pentazocine
Nalbuphine		dezocine
Nalbuphine		Analgesics, Opioid
Nalbuphine		agonists and antagonists
Levo-Dromoran		Agonist
Levo-Dromoran		Buprenorphine
Levo-Dromoran		Nalbuphine
Levo-Dromoran		Butorphanol
Levo-Dromoran		Analgesics
Levo-Dromoran		Pentazocine
Levo-Dromoran		dezocine
Levo-Dromoran		Analgesics, Opioid
Levo-Dromoran		agonists and antagonists
Butorphanol		Agonist
Butorphanol		Buprenorphine
Butorphanol		Nalbuphine
Butorphanol		Levo-Dromoran
Butorphanol		Analgesics
Butorphanol		Pentazocine
Butorphanol		dezocine
Butorphanol		Analgesics, Opioid
Butorphanol		agonists and antagonists
Analgesics		Agonist
Analgesics		Buprenorphine
Analgesics		Nalbuphine
Analgesics		Levo-Dromoran
Analgesics		Butorphanol
Analgesics		Pentazocine
Analgesics		dezocine
Analgesics		Analgesics, Opioid
Analgesics		agonists and antagonists
Pentazocine		Agonist
Pentazocine		Buprenorphine
Pentazocine		Nalbuphine
Pentazocine		Levo-Dromoran
Pentazocine		Butorphanol
Pentazocine		Analgesics
Pentazocine		dezocine
Pentazocine		Analgesics, Opioid
Pentazocine		agonists and antagonists
dezocine		Agonist
dezocine		Buprenorphine
dezocine		Nalbuphine
dezocine		Levo-Dromoran
dezocine		Butorphanol
dezocine		Analgesics
dezocine		Pentazocine
dezocine		Analgesics, Opioid
dezocine		agonists and antagonists
Analgesics, Opioid		Agonist
Analgesics, Opioid		Buprenorphine
Analgesics, Opioid		Nalbuphine
Analgesics, Opioid		Levo-Dromoran
Analgesics, Opioid		Butorphanol
Analgesics, Opioid		Analgesics
Analgesics, Opioid		Pentazocine
Analgesics, Opioid		dezocine
Analgesics, Opioid		agonists and antagonists
agonists and antagonists		Agonist
agonists and antagonists		Buprenorphine
agonists and antagonists		Nalbuphine
agonists and antagonists		Levo-Dromoran
agonists and antagonists		Butorphanol
agonists and antagonists		Analgesics
agonists and antagonists		Pentazocine
agonists and antagonists		dezocine
agonists and antagonists		Analgesics, Opioid
Estrogens, Synthetic		Ascorbic Acid
Ascorbic Acid		Estrogens, Synthetic
Rifampin		zaleplon
zaleplon		Rifampin
Dopamine Hydrochloride		Pharmacologic Substance
Dopamine Hydrochloride		Diuretics
Pharmacologic Substance		Dopamine Hydrochloride
Pharmacologic Substance		Diuretics
Diuretics		Dopamine Hydrochloride
Diuretics		Pharmacologic Substance
Monobactams		Probenecid
Monobactams		cefdinir
Probenecid		Monobactams
Probenecid		cefdinir
cefdinir		Monobactams
cefdinir		Probenecid
Vioxx		Aspirin
Vioxx		Low-Dose Aspirin
Aspirin		Vioxx
Aspirin		Low-Dose Aspirin
Low-Dose Aspirin		Vioxx
Low-Dose Aspirin		Aspirin
Didanosine		Nelfinavir
Nelfinavir		Didanosine
Antihistamines		Monoamine Oxidase Inhibitors
Monoamine Oxidase Inhibitors		Antihistamines
dolasetron mesylate		hydrodolasetron
dolasetron mesylate		Atenolol
hydrodolasetron		dolasetron mesylate
hydrodolasetron		Atenolol
Atenolol		dolasetron mesylate
Atenolol		hydrodolasetron
Calcium Channel Blockers		Adrenergic beta-Antagonists
Adrenergic beta-Antagonists		Calcium Channel Blockers
aminosalicylic acid		Vitamin B 12
Vitamin B 12		aminosalicylic acid
Ciprofloxacin		Didanosine
Didanosine		Ciprofloxacin
Butorphanol		Erythromycin
Butorphanol		Pharmaceutical Preparations
Erythromycin		Butorphanol
Erythromycin		Pharmaceutical Preparations
Pharmaceutical Preparations		Butorphanol
Pharmaceutical Preparations		Erythromycin
Epinephrine		Fluothane
Fluothane		Epinephrine
Angiotensin-Converting Enzyme Inhibitors		Anti-Inflammatory Agents, Non-Steroidal
Anti-Inflammatory Agents, Non-Steroidal		Angiotensin-Converting Enzyme Inhibitors
Protriptyline		Dextroamphetamine
Protriptyline		Tricyclic Antidepressive Agents
Protriptyline		Desipramine
Dextroamphetamine		Protriptyline
Dextroamphetamine		Tricyclic Antidepressive Agents
Dextroamphetamine		Desipramine
Tricyclic Antidepressive Agents		Protriptyline
Tricyclic Antidepressive Agents		Dextroamphetamine
Tricyclic Antidepressive Agents		Desipramine
Desipramine		Protriptyline
Desipramine		Dextroamphetamine
Desipramine		Tricyclic Antidepressive Agents
Indocin		Adrenergic beta-Antagonists
Indocin		Anti-Inflammatory Agents, Non-Steroidal
Adrenergic beta-Antagonists		Indocin
Adrenergic beta-Antagonists		Anti-Inflammatory Agents, Non-Steroidal
Anti-Inflammatory Agents, Non-Steroidal		Indocin
Anti-Inflammatory Agents, Non-Steroidal		Adrenergic beta-Antagonists
Neuromuscular Nondepolarizing Agents		Piperacillin
Piperacillin		Neuromuscular Nondepolarizing Agents
Dexamethasone		aprepitant
aprepitant		Dexamethasone
Clonidine		Adrenergic beta-Antagonists
Adrenergic beta-Antagonists		Clonidine
Nevirapine		Ketoconazole
Nevirapine		Pharmaceutical Preparations
Ketoconazole		Nevirapine
Ketoconazole		Pharmaceutical Preparations
Pharmaceutical Preparations		Nevirapine
Pharmaceutical Preparations		Ketoconazole
Monoamine Oxidase Inhibitors		Flexeril
Flexeril		Monoamine Oxidase Inhibitors
Quinolones		Anti-Inflammatory Agents, Non-Steroidal
Anti-Inflammatory Agents, Non-Steroidal		Quinolones
Duration		Acetazolamide
Duration		Amphetamine
Acetazolamide		Duration
Acetazolamide		Amphetamine
Amphetamine		Duration
Amphetamine		Acetazolamide
Ritonavir		vardenafil
vardenafil		Ritonavir
Cimetidine		Nifedipine
Nifedipine		Cimetidine
Diflunisal		Hydrochlorothiazide
Hydrochlorothiazide		Diflunisal
General anesthetic drugs		Phenothiazines
General anesthetic drugs		Benzodiazepines
General anesthetic drugs		Sedatives
General anesthetic drugs		Fentanyl
General anesthetic drugs		Tranquilizing Agents
General anesthetic drugs		Alcohols
General anesthetic drugs		Duragesic
General anesthetic drugs		Hypnotics
General anesthetic drugs		Central Nervous System Depressants
General anesthetic drugs		Opioids
General anesthetic drugs		Skeletal Muscle Relaxants
Phenothiazines		General anesthetic drugs
Phenothiazines		Benzodiazepines
Phenothiazines		Sedatives
Phenothiazines		Fentanyl
Phenothiazines		Tranquilizing Agents
Phenothiazines		Alcohols
Phenothiazines		Duragesic
Phenothiazines		Hypnotics
Phenothiazines		Central Nervous System Depressants
Phenothiazines		Opioids
Phenothiazines		Skeletal Muscle Relaxants
Benzodiazepines		General anesthetic drugs
Benzodiazepines		Phenothiazines
Benzodiazepines		Sedatives
Benzodiazepines		Fentanyl
Benzodiazepines		Tranquilizing Agents
Benzodiazepines		Alcohols
Benzodiazepines		Duragesic
Benzodiazepines		Hypnotics
Benzodiazepines		Central Nervous System Depressants
Benzodiazepines		Opioids
Benzodiazepines		Skeletal Muscle Relaxants
Sedatives		General anesthetic drugs
Sedatives		Phenothiazines
Sedatives		Benzodiazepines
Sedatives		Fentanyl
Sedatives		Tranquilizing Agents
Sedatives		Alcohols
Sedatives		Duragesic
Sedatives		Hypnotics
Sedatives		Central Nervous System Depressants
Sedatives		Opioids
Sedatives		Skeletal Muscle Relaxants
Fentanyl		General anesthetic drugs
Fentanyl		Phenothiazines
Fentanyl		Benzodiazepines
Fentanyl		Sedatives
Fentanyl		Tranquilizing Agents
Fentanyl		Alcohols
Fentanyl		Duragesic
Fentanyl		Hypnotics
Fentanyl		Central Nervous System Depressants
Fentanyl		Opioids
Fentanyl		Skeletal Muscle Relaxants
Tranquilizing Agents		General anesthetic drugs
Tranquilizing Agents		Phenothiazines
Tranquilizing Agents		Benzodiazepines
Tranquilizing Agents		Sedatives
Tranquilizing Agents		Fentanyl
Tranquilizing Agents		Alcohols
Tranquilizing Agents		Duragesic
Tranquilizing Agents		Hypnotics
Tranquilizing Agents		Central Nervous System Depressants
Tranquilizing Agents		Opioids
Tranquilizing Agents		Skeletal Muscle Relaxants
Alcohols		General anesthetic drugs
Alcohols		Phenothiazines
Alcohols		Benzodiazepines
Alcohols		Sedatives
Alcohols		Fentanyl
Alcohols		Tranquilizing Agents
Alcohols		Duragesic
Alcohols		Hypnotics
Alcohols		Central Nervous System Depressants
Alcohols		Opioids
Alcohols		Skeletal Muscle Relaxants
Duragesic		General anesthetic drugs
Duragesic		Phenothiazines
Duragesic		Benzodiazepines
Duragesic		Sedatives
Duragesic		Fentanyl
Duragesic		Tranquilizing Agents
Duragesic		Alcohols
Duragesic		Hypnotics
Duragesic		Central Nervous System Depressants
Duragesic		Opioids
Duragesic		Skeletal Muscle Relaxants
Hypnotics		General anesthetic drugs
Hypnotics		Phenothiazines
Hypnotics		Benzodiazepines
Hypnotics		Sedatives
Hypnotics		Fentanyl
Hypnotics		Tranquilizing Agents
Hypnotics		Alcohols
Hypnotics		Duragesic
Hypnotics		Central Nervous System Depressants
Hypnotics		Opioids
Hypnotics		Skeletal Muscle Relaxants
Central Nervous System Depressants		General anesthetic drugs
Central Nervous System Depressants		Phenothiazines
Central Nervous System Depressants		Benzodiazepines
Central Nervous System Depressants		Sedatives
Central Nervous System Depressants		Fentanyl
Central Nervous System Depressants		Tranquilizing Agents
Central Nervous System Depressants		Alcohols
Central Nervous System Depressants		Duragesic
Central Nervous System Depressants		Hypnotics
Central Nervous System Depressants		Opioids
Central Nervous System Depressants		Skeletal Muscle Relaxants
Opioids		General anesthetic drugs
Opioids		Phenothiazines
Opioids		Benzodiazepines
Opioids		Sedatives
Opioids		Fentanyl
Opioids		Tranquilizing Agents
Opioids		Alcohols
Opioids		Duragesic
Opioids		Hypnotics
Opioids		Central Nervous System Depressants
Opioids		Skeletal Muscle Relaxants
Skeletal Muscle Relaxants		General anesthetic drugs
Skeletal Muscle Relaxants		Phenothiazines
Skeletal Muscle Relaxants		Benzodiazepines
Skeletal Muscle Relaxants		Sedatives
Skeletal Muscle Relaxants		Fentanyl
Skeletal Muscle Relaxants		Tranquilizing Agents
Skeletal Muscle Relaxants		Alcohols
Skeletal Muscle Relaxants		Duragesic
Skeletal Muscle Relaxants		Hypnotics
Skeletal Muscle Relaxants		Central Nervous System Depressants
Skeletal Muscle Relaxants		Opioids
Diflunisal		Coumarins
Coumarins		Diflunisal
Aspirin		Furosemide
Furosemide		Aspirin
Tricyclic Antidepressive Agents		Selective serotonin re-uptake inhibitor
Selective serotonin re-uptake inhibitor		Tricyclic Antidepressive Agents
Hypoglycemic Agents		Anticoagulants, Oral
Hypoglycemic Agents		Chlorpropamide
Hypoglycemic Agents		Tolbutamide
Anticoagulants, Oral		Hypoglycemic Agents
Anticoagulants, Oral		Chlorpropamide
Anticoagulants, Oral		Tolbutamide
Chlorpropamide		Hypoglycemic Agents
Chlorpropamide		Anticoagulants, Oral
Chlorpropamide		Tolbutamide
Tolbutamide		Hypoglycemic Agents
Tolbutamide		Anticoagulants, Oral
Tolbutamide		Chlorpropamide
Probenecid		Cephalosporin Antibacterial [EPC]
Cephalosporin Antibacterial [EPC]		Probenecid
Doxepin		Tolazamide
Tolazamide		Doxepin
Succinylcholine		Nimbex
Nimbex		Succinylcholine
Hivid		Pentamidine
Pentamidine		Hivid
Warfarin		Hydroxymethylglutaryl-CoA Reductase Inhibitors
Hydroxymethylglutaryl-CoA Reductase Inhibitors		Warfarin
Cyclosporine		Epoprostenol
Cyclosporine		Anti-Inflammatory Agents, Non-Steroidal
Epoprostenol		Cyclosporine
Epoprostenol		Anti-Inflammatory Agents, Non-Steroidal
Anti-Inflammatory Agents, Non-Steroidal		Cyclosporine
Anti-Inflammatory Agents, Non-Steroidal		Epoprostenol
Phenytoin		Phenobarbital
Phenytoin		Carbamazepine
Phenytoin		Flecainide
Phenytoin		Enzymes
Phenobarbital		Phenytoin
Phenobarbital		Carbamazepine
Phenobarbital		Flecainide
Phenobarbital		Enzymes
Carbamazepine		Phenytoin
Carbamazepine		Phenobarbital
Carbamazepine		Flecainide
Carbamazepine		Enzymes
Flecainide		Phenytoin
Flecainide		Phenobarbital
Flecainide		Carbamazepine
Flecainide		Enzymes
Enzymes		Phenytoin
Enzymes		Phenobarbital
Enzymes		Carbamazepine
Enzymes		Flecainide
Dihydroergotamine Mesylate		Vasoconstrictor Agents
Vasoconstrictor Agents		Dihydroergotamine Mesylate
Clonidine		Adrenergic beta-Antagonists
Adrenergic beta-Antagonists		Clonidine
Exjade		ALUMINUM CONTAINING ANTACIDS
Exjade		deferasirox
Exjade		Iron
ALUMINUM CONTAINING ANTACIDS		Exjade
ALUMINUM CONTAINING ANTACIDS		deferasirox
ALUMINUM CONTAINING ANTACIDS		Iron
deferasirox		Exjade
deferasirox		ALUMINUM CONTAINING ANTACIDS
deferasirox		Iron
Iron		Exjade
Iron		ALUMINUM CONTAINING ANTACIDS
Iron		deferasirox
Methotrexate		Indocin
Indocin		Methotrexate
Gestodene		Ethinyl Estradiol
Gestodene		felbamate
Ethinyl Estradiol		Gestodene
Ethinyl Estradiol		felbamate
felbamate		Gestodene
felbamate		Ethinyl Estradiol
Disulfiram		Phenytoin
Disulfiram		Level
Disulfiram		Pharmaceutical Preparations
Phenytoin		Disulfiram
Phenytoin		Level
Phenytoin		Pharmaceutical Preparations
Level		Disulfiram
Level		Phenytoin
Level		Pharmaceutical Preparations
Pharmaceutical Preparations		Disulfiram
Pharmaceutical Preparations		Phenytoin
Pharmaceutical Preparations		Level
Phenytoin		tiagabine
Phenytoin		Enzymes
tiagabine		Phenytoin
tiagabine		Enzymes
Enzymes		Phenytoin
Enzymes		tiagabine
Gemfibrozil		Targretin
Targretin		Gemfibrozil
Azathioprine		Angiotensin-Converting Enzyme Inhibitors
Azathioprine		Enzyme Inhibitors
Angiotensin-Converting Enzyme Inhibitors		Azathioprine
Angiotensin-Converting Enzyme Inhibitors		Enzyme Inhibitors
Enzyme Inhibitors		Azathioprine
Enzyme Inhibitors		Angiotensin-Converting Enzyme Inhibitors
Amphetamines		Meperidine
Meperidine		Amphetamines
Sonata		Central Nervous System Agents
Sonata		Ethanol
Central Nervous System Agents		Sonata
Central Nervous System Agents		Ethanol
Ethanol		Sonata
Ethanol		Central Nervous System Agents
Indinavir		Contraceptive Agents
Contraceptive Agents		Indinavir
Estrogens		Phenylbutazone
Estrogens		Pharmacologic Substance
Estrogens		Levothyroxine Sodium
Estrogens		Salicylates
Estrogens		Tamoxifen
Estrogens		Furosemide
Estrogens		Relate - vinyl resin
Estrogens		Clofibrate
Estrogens		Phenytoin
Estrogens		Methadone
Estrogens		Perphenazine
Estrogens		Fluorouracil
Estrogens		Mefenamic Acid
Estrogens		ASPARAGINASE
Estrogens		Androgens
Estrogens		Meclofenamic Acid
Phenylbutazone		Estrogens
Phenylbutazone		Pharmacologic Substance
Phenylbutazone		Levothyroxine Sodium
Phenylbutazone		Salicylates
Phenylbutazone		Tamoxifen
Phenylbutazone		Furosemide
Phenylbutazone		Relate - vinyl resin
Phenylbutazone		Clofibrate
Phenylbutazone		Phenytoin
Phenylbutazone		Methadone
Phenylbutazone		Perphenazine
Phenylbutazone		Fluorouracil
Phenylbutazone		Mefenamic Acid
Phenylbutazone		ASPARAGINASE
Phenylbutazone		Androgens
Phenylbutazone		Meclofenamic Acid
Pharmacologic Substance		Estrogens
Pharmacologic Substance		Phenylbutazone
Pharmacologic Substance		Levothyroxine Sodium
Pharmacologic Substance		Salicylates
Pharmacologic Substance		Tamoxifen
Pharmacologic Substance		Furosemide
Pharmacologic Substance		Relate - vinyl resin
Pharmacologic Substance		Clofibrate
Pharmacologic Substance		Phenytoin
Pharmacologic Substance		Methadone
Pharmacologic Substance		Perphenazine
Pharmacologic Substance		Fluorouracil
Pharmacologic Substance		Mefenamic Acid
Pharmacologic Substance		ASPARAGINASE
Pharmacologic Substance		Androgens
Pharmacologic Substance		Meclofenamic Acid
Levothyroxine Sodium		Estrogens
Levothyroxine Sodium		Phenylbutazone
Levothyroxine Sodium		Pharmacologic Substance
Levothyroxine Sodium		Salicylates
Levothyroxine Sodium		Tamoxifen
Levothyroxine Sodium		Furosemide
Levothyroxine Sodium		Relate - vinyl resin
Levothyroxine Sodium		Clofibrate
Levothyroxine Sodium		Phenytoin
Levothyroxine Sodium		Methadone
Levothyroxine Sodium		Perphenazine
Levothyroxine Sodium		Fluorouracil
Levothyroxine Sodium		Mefenamic Acid
Levothyroxine Sodium		ASPARAGINASE
Levothyroxine Sodium		Androgens
Levothyroxine Sodium		Meclofenamic Acid
Salicylates		Estrogens
Salicylates		Phenylbutazone
Salicylates		Pharmacologic Substance
Salicylates		Levothyroxine Sodium
Salicylates		Tamoxifen
Salicylates		Furosemide
Salicylates		Relate - vinyl resin
Salicylates		Clofibrate
Salicylates		Phenytoin
Salicylates		Methadone
Salicylates		Perphenazine
Salicylates		Fluorouracil
Salicylates		Mefenamic Acid
Salicylates		ASPARAGINASE
Salicylates		Androgens
Salicylates		Meclofenamic Acid
Tamoxifen		Estrogens
Tamoxifen		Phenylbutazone
Tamoxifen		Pharmacologic Substance
Tamoxifen		Levothyroxine Sodium
Tamoxifen		Salicylates
Tamoxifen		Furosemide
Tamoxifen		Relate - vinyl resin
Tamoxifen		Clofibrate
Tamoxifen		Phenytoin
Tamoxifen		Methadone
Tamoxifen		Perphenazine
Tamoxifen		Fluorouracil
Tamoxifen		Mefenamic Acid
Tamoxifen		ASPARAGINASE
Tamoxifen		Androgens
Tamoxifen		Meclofenamic Acid
Furosemide		Estrogens
Furosemide		Phenylbutazone
Furosemide		Pharmacologic Substance
Furosemide		Levothyroxine Sodium
Furosemide		Salicylates
Furosemide		Tamoxifen
Furosemide		Relate - vinyl resin
Furosemide		Clofibrate
Furosemide		Phenytoin
Furosemide		Methadone
Furosemide		Perphenazine
Furosemide		Fluorouracil
Furosemide		Mefenamic Acid
Furosemide		ASPARAGINASE
Furosemide		Androgens
Furosemide		Meclofenamic Acid
Relate - vinyl resin		Estrogens
Relate - vinyl resin		Phenylbutazone
Relate - vinyl resin		Pharmacologic Substance
Relate - vinyl resin		Levothyroxine Sodium
Relate - vinyl resin		Salicylates
Relate - vinyl resin		Tamoxifen
Relate - vinyl resin		Furosemide
Relate - vinyl resin		Clofibrate
Relate - vinyl resin		Phenytoin
Relate - vinyl resin		Methadone
Relate - vinyl resin		Perphenazine
Relate - vinyl resin		Fluorouracil
Relate - vinyl resin		Mefenamic Acid
Relate - vinyl resin		ASPARAGINASE
Relate - vinyl resin		Androgens
Relate - vinyl resin		Meclofenamic Acid
Clofibrate		Estrogens
Clofibrate		Phenylbutazone
Clofibrate		Pharmacologic Substance
Clofibrate		Levothyroxine Sodium
Clofibrate		Salicylates
Clofibrate		Tamoxifen
Clofibrate		Furosemide
Clofibrate		Relate - vinyl resin
Clofibrate		Phenytoin
Clofibrate		Methadone
Clofibrate		Perphenazine
Clofibrate		Fluorouracil
Clofibrate		Mefenamic Acid
Clofibrate		ASPARAGINASE
Clofibrate		Androgens
Clofibrate		Meclofenamic Acid
Phenytoin		Estrogens
Phenytoin		Phenylbutazone
Phenytoin		Pharmacologic Substance
Phenytoin		Levothyroxine Sodium
Phenytoin		Salicylates
Phenytoin		Tamoxifen
Phenytoin		Furosemide
Phenytoin		Relate - vinyl resin
Phenytoin		Clofibrate
Phenytoin		Methadone
Phenytoin		Perphenazine
Phenytoin		Fluorouracil
Phenytoin		Mefenamic Acid
Phenytoin		ASPARAGINASE
Phenytoin		Androgens
Phenytoin		Meclofenamic Acid
Methadone		Estrogens
Methadone		Phenylbutazone
Methadone		Pharmacologic Substance
Methadone		Levothyroxine Sodium
Methadone		Salicylates
Methadone		Tamoxifen
Methadone		Furosemide
Methadone		Relate - vinyl resin
Methadone		Clofibrate
Methadone		Phenytoin
Methadone		Perphenazine
Methadone		Fluorouracil
Methadone		Mefenamic Acid
Methadone		ASPARAGINASE
Methadone		Androgens
Methadone		Meclofenamic Acid
Perphenazine		Estrogens
Perphenazine		Phenylbutazone
Perphenazine		Pharmacologic Substance
Perphenazine		Levothyroxine Sodium
Perphenazine		Salicylates
Perphenazine		Tamoxifen
Perphenazine		Furosemide
Perphenazine		Relate - vinyl resin
Perphenazine		Clofibrate
Perphenazine		Phenytoin
Perphenazine		Methadone
Perphenazine		Fluorouracil
Perphenazine		Mefenamic Acid
Perphenazine		ASPARAGINASE
Perphenazine		Androgens
Perphenazine		Meclofenamic Acid
Fluorouracil		Estrogens
Fluorouracil		Phenylbutazone
Fluorouracil		Pharmacologic Substance
Fluorouracil		Levothyroxine Sodium
Fluorouracil		Salicylates
Fluorouracil		Tamoxifen
Fluorouracil		Furosemide
Fluorouracil		Relate - vinyl resin
Fluorouracil		Clofibrate
Fluorouracil		Phenytoin
Fluorouracil		Methadone
Fluorouracil		Perphenazine
Fluorouracil		Mefenamic Acid
Fluorouracil		ASPARAGINASE
Fluorouracil		Androgens
Fluorouracil		Meclofenamic Acid
Mefenamic Acid		Estrogens
Mefenamic Acid		Phenylbutazone
Mefenamic Acid		Pharmacologic Substance
Mefenamic Acid		Levothyroxine Sodium
Mefenamic Acid		Salicylates
Mefenamic Acid		Tamoxifen
Mefenamic Acid		Furosemide
Mefenamic Acid		Relate - vinyl resin
Mefenamic Acid		Clofibrate
Mefenamic Acid		Phenytoin
Mefenamic Acid		Methadone
Mefenamic Acid		Perphenazine
Mefenamic Acid		Fluorouracil
Mefenamic Acid		ASPARAGINASE
Mefenamic Acid		Androgens
Mefenamic Acid		Meclofenamic Acid
ASPARAGINASE		Estrogens
ASPARAGINASE		Phenylbutazone
ASPARAGINASE		Pharmacologic Substance
ASPARAGINASE		Levothyroxine Sodium
ASPARAGINASE		Salicylates
ASPARAGINASE		Tamoxifen
ASPARAGINASE		Furosemide
ASPARAGINASE		Relate - vinyl resin
ASPARAGINASE		Clofibrate
ASPARAGINASE		Phenytoin
ASPARAGINASE		Methadone
ASPARAGINASE		Perphenazine
ASPARAGINASE		Fluorouracil
ASPARAGINASE		Mefenamic Acid
ASPARAGINASE		Androgens
ASPARAGINASE		Meclofenamic Acid
Androgens		Estrogens
Androgens		Phenylbutazone
Androgens		Pharmacologic Substance
Androgens		Levothyroxine Sodium
Androgens		Salicylates
Androgens		Tamoxifen
Androgens		Furosemide
Androgens		Relate - vinyl resin
Androgens		Clofibrate
Androgens		Phenytoin
Androgens		Methadone
Androgens		Perphenazine
Androgens		Fluorouracil
Androgens		Mefenamic Acid
Androgens		ASPARAGINASE
Androgens		Meclofenamic Acid
Meclofenamic Acid		Estrogens
Meclofenamic Acid		Phenylbutazone
Meclofenamic Acid		Pharmacologic Substance
Meclofenamic Acid		Levothyroxine Sodium
Meclofenamic Acid		Salicylates
Meclofenamic Acid		Tamoxifen
Meclofenamic Acid		Furosemide
Meclofenamic Acid		Relate - vinyl resin
Meclofenamic Acid		Clofibrate
Meclofenamic Acid		Phenytoin
Meclofenamic Acid		Methadone
Meclofenamic Acid		Perphenazine
Meclofenamic Acid		Fluorouracil
Meclofenamic Acid		Mefenamic Acid
Meclofenamic Acid		ASPARAGINASE
Meclofenamic Acid		Androgens
Morphine		Brevibloc
Brevibloc		Morphine
Propranolol		Flurbiprofen
Propranolol		Atenolol
Flurbiprofen		Propranolol
Flurbiprofen		Atenolol
Atenolol		Propranolol
Atenolol		Flurbiprofen
Tacrolimus		bosentan
bosentan		Tacrolimus
Tricyclic Antidepressive Agents		Selective serotonin re-uptake inhibitor
Selective serotonin re-uptake inhibitor		Tricyclic Antidepressive Agents
Cyclosporine		Quinolones
Cyclosporine		Mediator brand of benfluorex hydrochloride
Quinolones		Cyclosporine
Quinolones		Mediator brand of benfluorex hydrochloride
Mediator brand of benfluorex hydrochloride		Cyclosporine
Mediator brand of benfluorex hydrochloride		Quinolones
Adrenergic beta-Antagonists		Epinephrine
Epinephrine		Adrenergic beta-Antagonists
Escitalopram		Tricyclic Antidepressive Agents
Escitalopram		Desipramine
Tricyclic Antidepressive Agents		Escitalopram
Tricyclic Antidepressive Agents		Desipramine
Desipramine		Escitalopram
Desipramine		Tricyclic Antidepressive Agents
Quinolones		Warfarin
Quinolones		Anticoagulants, Oral
Warfarin		Quinolones
Warfarin		Anticoagulants, Oral
Anticoagulants, Oral		Quinolones
Anticoagulants, Oral		Warfarin
Contraceptives, Oral		atorvastatin
atorvastatin		Contraceptives, Oral
phenothiazine		Adrenergic beta-Antagonists
Adrenergic beta-Antagonists		phenothiazine
Phenytoin		Carbamazepine
Phenytoin		Nimbex
Carbamazepine		Phenytoin
Carbamazepine		Nimbex
Nimbex		Phenytoin
Nimbex		Carbamazepine
Sonata		Imipramine
Imipramine		Sonata
Anticoagulants		Tetracyclines
Tetracyclines		Anticoagulants
Amphotericin B		Antineoplastic Agents
Amphotericin B		Pharmaceutical Preparations
Antineoplastic Agents		Amphotericin B
Antineoplastic Agents		Pharmaceutical Preparations
Pharmaceutical Preparations		Amphotericin B
Pharmaceutical Preparations		Antineoplastic Agents
Methadone		Amprenavir
Amprenavir		Methadone
Triazolam		Midazolam
Triazolam		Diltiazem
Midazolam		Triazolam
Midazolam		Diltiazem
Diltiazem		Triazolam
Diltiazem		Midazolam
Dexamethasone		albendazole sulfoxide
Dexamethasone		Albendazole
albendazole sulfoxide		Dexamethasone
albendazole sulfoxide		Albendazole
Albendazole		Dexamethasone
Albendazole		albendazole sulfoxide
Diazepam		Central Nervous System Depressants
Diazepam		Codeine
Diazepam		Alcohols
Diazepam		nabilone
Central Nervous System Depressants		Diazepam
Central Nervous System Depressants		Codeine
Central Nervous System Depressants		Alcohols
Central Nervous System Depressants		nabilone
Codeine		Diazepam
Codeine		Central Nervous System Depressants
Codeine		Alcohols
Codeine		nabilone
Alcohols		Diazepam
Alcohols		Central Nervous System Depressants
Alcohols		Codeine
Alcohols		nabilone
nabilone		Diazepam
nabilone		Central Nervous System Depressants
nabilone		Codeine
nabilone		Alcohols
Nicardipine		Cimetidine
Cimetidine		Nicardipine
Benzodiazepines		Chlorprothixene
Chlorprothixene		Benzodiazepines
Accutane		Vitamin A
Vitamin A		Accutane
dofetilide		Digoxin
Digoxin		dofetilide
gabapentin		Maalox
Maalox		gabapentin
Colestipol Hydrochloride		Propranolol
Propranolol		Colestipol Hydrochloride
zaleplon		Ketoconazole
Ketoconazole		zaleplon
Neuromuscular Blocking Agents		Phenytoin
Neuromuscular Blocking Agents		Carbamazepine
Phenytoin		Neuromuscular Blocking Agents
Phenytoin		Carbamazepine
Carbamazepine		Neuromuscular Blocking Agents
